,,,,,,,,,,
,,,,,,,,,,
Sl. No.,Name of NGOs,Address,Reg. No,Reg. Date,Renewed on,Valid till,District,Country,Remarks,
425,Banoful,"01 No Bagan Bari Lane, 215 Khanjahan Ali Road, Khulna. Phone: 041-721314",1058,12-08-96,12-08-11,12-08-16,Khulna,Bangladesh,,
426,Banosree Nari Unnayan Foundation,"Uttar Kalindipur, Rangamat. Phone: 01720-206214",2906,02-12-14,,02-12-19,Rangamati,Bangladesh,,
427,Baptist Aid Bangladesh Baptist Church Fellowship (Baptist Aid-BBCF),"7, Green Corner, Green Road, Dhaka Phone : 966208, 9661690
Fax: 8611611",0818,03-03-94,03-03-14,03-03-19,Dhaka,Bangladesh,,
428,Baptist Mid Mission Bangladesh,"Baptish Mid Missions Hospital, Borohorispur, Natore-6400
Phone : 0771-62386, 01711-070468",0115,30-12-81,15-05-15,15-05-20,Natore,USA,,
429,Baptist Missionary Society (British),"137, Jahanara Garden, Green Road, Dhaka",0129,21-11-82,15-05-95,15-05-00,Dhaka,UK,,
430,Baraigaon Orphanage,"Vill. Baraigaon, P.O. Barojagatpur, Laksham,Comilla",0245,12-11-87,12-11-97,12-11-02,Comilla,Bangladesh,,
431,BARCIK,"House-50, Road-27, Dhanmondi, Dhaka.
Phone: 9132372, 01715-696855
Fax: 9132372",1238,18-02-98,18-02-13,18-02-18,Dhaka,Bangladesh,,
432,Barendra Advancement Integrated Committee (BAIC),"Choturpur, PO&UZ: Shibganj, Chapainobabganj.
Phone : 0781-56154",1751,23-10-02,23-10-12,23-10-17,Chapainababga nj,Bangladesh,,
433,Barendra Bhumi Social Development Organisation,"Vill. Mahinagar, P.O. Shujailhat, P.S: Mohadebpur, Noagaon
Phone: 01711-883016, 10712-
021645",0503,18-07-91,18-07-11,18-07-16,Naogaon,Bangladesh,,
434,Barendra Development Foundation (BDF),"Niamatpure, Naogaon. Phone: 01716-476546",2730,16-09-12,,16-09-17,Naogaon,Bangladesh,,
435,Barendra Development Organisation (BDO),"Vill. Dadrail, P.O: Hatrajbari, P.S. Niamatpur, Naogaon
Phone: 01730-005252",0634,04-07-92,04-07-12,04-07-17,Naogaon,Bangladesh,,
436,Barguna Nari Jagaran Karmosuchi (JAGO-NARI),"House-Ashahi Mansion, College Road, PO+UZ: Sadar, Dist: Barguna Phone: 0448-6228",2332,07-04-08,07-04-13,07-04-18,Barguna,Bangladesh,,
437,Barguna Women Development Society (BWCS),"Siddiqur Rahman Bhaban (2nd Floor), Staff Quarter Road, Barguna. Phone: 0448-62080",2345,28-04-08,28-04-13,28-04-18,Barguna,Bangladesh,,
438,Bari Nagar Samaj Kalyan Sangstha,"Vill & P.O. Barinagar, Jessore Sadar, Jessore
Phone : 01711-930528",0526,26-08-91,26-04-11,26-04-16,Jessore,Bangladesh,,
439,Barisal Disabled Peoples Organization,"Kharki Road, Barisal Phone: 01711-201014",2691,18-04-12,,18-04-17,Barisal,Bangladesh,,
440,Barisal Samaj Unnayan Sangstha,"West Sujankhati, Agailjhara, P.S: Agailjhara, Barisal
Phone: 04323-56319, Fax: 04323-
56246",1342,18-01-99,18-01-04,18-01-09,Barisal,Bangladesh,,
441,Barisal Social Advancement Society (BASAS),"13, Perara Road, Sadar, Barisal Phone: 0431-53995",1111,21-12-96,21-12-11,21-12-16,Barisal,Bangladesh,,
442,Barisal Unnayan Sangstha,"Kaga Sura, PO: Amir Gong Bazar, PS: Barisal Sadar, Barisal
Phone: 01913-921452",2775,25-03-13,,25-03-18,Barisal,Bangladesh,,
443,Barna Samaj Kallayan Sangstha,"219/1 Amena School Road, Gopalganj
Phone: 01823-104504",2993,17-01-16,,17-01-21,Gopalganj,Bangladesh,,
444,Barnaly,"Malek Bhaban (1st Floor), 40, Goalpara, Enayet Bazar, Kotwali, Chittagong.
Phone: 031-627875",2370,15-06-08,15-06-13,15-06-18,Chittagong,Bangladesh,,
445,Barobari Samaj Unnayan Sangstha,"Shahir Wahab Sarak, Mollapara, Kurigram",1436,14-10-99,,14-10-04,Kurigram,Bangladesh,,
446,Basati (Joibo Nibir Protibesh Rokhai Samajik Uddog),"Chaprishir Hat, PO: Charfakira, Upazila: Companiganj, Dist: Noakhali
Phone: 01715-81047",2823,23-10-13,,23-10-18,Noakhali,Bangladesh,,
447,Basco Foundation,"House-78, Pashu Hospital Para, Chaya Bithi Road, Magura Phone: 01712-473206",2672,08-02-12,,08-02-17,Magura,Bangladesh,,
448,Bashaboo Friends Association (BFA),"69/2, Central Bashaboo, Sabujbag, Bashaboo, Dhaka-1214.
Phone: 8251374 www.bfabd.org",2111,12-07-06,12-07-11,12-07-16,Dhaka,Bangladesh,,
449,Basic Development Partner (BDP),"32/5, Senpara parbata, Mirpur-10, Dhaka.
Phone : 9009326-7",1383,16-05-99,16-05-14,16-05-19,Dhaka,Bangladesh,,
450,Basic Organization Network for Development and Humanitarian Aid for Nation (BONDHAN),"Mohalla, Mataish Manzil, PO & PS: Panchbibi, Dist: Joypurhat
Phone: 05724-75362, 75133
Mobile: 01712-158602",2538,02-02-10,02-02-15,02-02-20,Joypurhat,Bangladesh,,
451,"Basic Unit for Resources and Opportunity of Bangladesh 'Buro Bangladesh""","House-12/A, Road-104, Block- CEN(F), Gulshan-2, Dhaka.
Phone: 8857576, 8858564, Fax:
8858447
www.burobd.org",0610,19-03-92,19-03-12,19-03-17,Dhaka,Bangladesh,,
452,Bastob Initiative for Peoples Self Development,"6/20, Humayun Road (5th Floor), Block-B, Mohammadpur, Dhaka- 1207
Phone: 8128805",1263,06-05-98,06-05-13,06-05-18,Dhaka,Bangladesh,,
453,BASUG-Diaspora & Development (Bangladesh Chapter),"DIPSHIKHA Bhaban, 282/5, 1st Colony, Mazar Road, Mirpur-01, Dhaka-1216
Phone: 01714-045547",2683,06-03-12,,06-03-17,Dhaka,Netherland,,
454,Basundhara Social Development Society,"R.K. Road, Kurigram
Phone : 01710-397414, 0581-61507",1392,08-06-99,08-06-14,08-06-19,Kurigram,Bangladesh,,
455,BBC World Service Trust,"Basati Aristocrats (5th Floor), Plot- 06, Block-SWH, Gulshan Avenue, Gulshan, Dhaka-1212",2404,27-01-09,,27-01-14,Dhaka,UK,,
456,BCC Foundation,"58, Gulshan Avenue, Dhaka",0147,06-07-83,15-05-90,15-05-95,Dhaka,Bangladesh,,
457,Becon Samaj Unnayan Sangstha,"Lae-8, Sabujbagh, Patuakhali. Phone: 01712-184020",2748,21-11-12,,21-11-17,Patuakhali,Bangladesh,,
458,BEDO,"8/6, Segunbagicha, Dhaka. Phone : 9554798, 9568906
www.bedobd.org",1184,03-09-97,03-09-12,03-09-17,Dhaka,Bangladesh,,
459,Beez Bistar Foundation,"22/13 Khiljee Road, Block-B, Mohammadpur, Dhaka-1207. Phone: 8111465, 8124533",2612,28-11-10,,28-11-15,Dhaka,Bangladesh,,
460,Bekar Youth Helping Through Alternative & Nurtured Development (BY HAND),"Green Haven, Mridhapara, Station Road, Jamalpur.
Phone: 883901-4",2019,20-03-05,20-03-15,20-03-20,Jamalpur,Bangladesh,,
461,Belayet Husain Foundation,"Mehedi Kunjha, Old Bazar Main Road, Bagerhat.",2187,16-01-07,,16-01-12,Bagerhat,Bangladesh,,
462,Betagi Goodwill School Foundation,"P.O. Betagi, Rangunia, Chittagong.",1182,20-08-97,,20-08-02,Chittagong,Bangladesh,,
463,BHN Association,"Mallika, 24/5, Prominent Housing, 3 Piciculture Road, Mohammadpur, Dhaka.
Phone: 01713-130666",2767,26-02-13,,26-02-18,Dhaka,Japan,,
464,Bhola Samaj Unnayan Sangstha (BSUS),"C&B Coloney Gazipur Road, PO: Bhola Sadar, Dist: Bhola
Phone: 01673-981064, 01823-
314080",2525,29-12-09,29-12-14,29-12-19,Bhola,Bangladesh,,
465,Bhola Seba Sangha (BSS),"Vill. Syedpur, P.O: Hazipur Madrasha, Thana: Daulatkhan, Dist. Bhola.
Phone: 01732-049901",0817,01-03-94,01-03-14,01-03-19,Bhola,Bangladesh,,
466,Bhumij Foundation,"Vill. & P.O. Tala, Thana Tala, Satkhira
Phone :04727-56149, 01711-806849
Mobile: 01711-806866
www.bhumija.org",0925,22-03-95,22-03-16,22-03-21,Sathkhira,Bangladesh,,
467,Bhumista,"Shahid Siraj Sarani, Katia, Dist: Satkhira
Phone: 01711-788988",2876,12-08-14,,12-08-19,Sathkhira,Bangladesh,,
468,Bichitra Unnayan Sangstha (BUS),"Vill: Kashba, PO: Pulhat, Dist: Dinajpur
Phone : 64504",0355,30-01-90,30-01-10,30-01-15,Dinajpur,Bangladesh,,
469,Bihango Mohila Sangstha,"Govt. Girls School College, Patuakhali
Phone: 0175-753805",2740,08-11-12,,08-11-17,Patuakhali,Bangladesh,,
470,Bikalpa Unnayan Karmasuchi (BUK),"Tursa, Nazir Moholla, Barisal-8200 Phone: 0431-2173346",0370,03-03-90,03-03-10,03-03-15,Barisal,Bangladesh,,
471,Bikash,"41, Sir Syed Road, Faridpur Phone : 0631-2455",0926,29-03-95,29-03-05,29-03-10,Faridpur,Bangladesh,,
472,Bikash-Bangladesh,"Vill: Mamatpara, Panchagarh, Pauroshava, Sadar, Panchagarh Phone: 01730-017201
www.bikashbd.org",1970,10-10-04,10-10-14,10-10-19,Panchagar,Bangladesh,,
473,Bikrampur Ayeen Sahajja Sangstha,"4, Chandicharon Bose Street, Wari, Dhaka-1203",0462,14-04-91,14-04-11,14-04-16,Dhaka,Bangladesh,"Cancelled on 15/06/2010,
Revived on 07/04/2013",
474,Bilchalan Development Service Centre,"Gurudaspur, Natore",1446,17-11-99,,17-11-04,Natore,Bangladesh,,
475,BINA Sangstha,"Suma House, 755 Adarsjanag (Paradogar) Konapara, Jatrabari, Dhaka-1362
Phone: 7552027",0258,16-02-88,16-02-13,16-02-18,Dhaka,Bangladesh,,
476,Birishiri Bahumukhi Mahila Samabay Samity,"P.O: Birishiri, Thana: Durgapur, Netrokona",1388,30-05-99,,30-05-04,Netrakona,Bangladesh,,
477,Bishwa Sahitya Kendra (World Literature Centre),"14, Kazi Nazrul Islam Avenue, Dhaka- 1000
Phone : 9660812, 8618567",0278,27-11-88,27-11-13,27-11-18,Dhaka,Bangladesh,,
478,Bishya Muktibani Sangstha,"Hasina Monjil, Anana Bhaban Lane, 187/1 Khan Jahan Ali Road, Khulna- 9100
Phone: 041-721325, Fax: 041-
725682",0005,22-04-81,09-08-15,09-08-20,Khulna,Bangladesh,,
479,Biswas Foundation,"Vill & Post- Parulia, P.S: Debhata, Dist. Satkhira.
Phone: 01715-758117, Fax: 0471-
64450
www.biswasf.org",1893,13-12-03,13-12-08,13-12-13,Sathkhira,Bangladesh,,
480,Bittahin Bhaggyodoy Songothan (BIVAS),"Birol Bazar, Birol, Dinajpur Phone: 01715-270159",1317,23-11-98,23-11-03,23-11-08,Dinajpur,Bangladesh,,
481,BIVA,"House-584/2, Guakhola, PO: Noapara, UZ: Abhajnagar, Dist: Jessore-7460
Phone: 01711-440199",2245,19-06-07,19-06-12,19-06-17,Jessore,Bangladesh,,
482,Blind Education & Rehabilitation Development Organisation (BERDO),"3/1, Road-11, Rupnagar, Section-5, Mirpur, Dhaka.
Phone : 9009451, 8060703
Fax: 9003786
www.berdobd.org",0861,06-10-94,06-10-14,06-10-19,Dhaka,Bangladesh,,
483,Boalia Islamia Madrasha & Etimkhana,"Anowara, Chittagong. Phone : 223550",1207,23-10-97,,23-10-02,Chittagong,Bangladesh,,
484,Bohubrihy,"Vill: Tatolia, PO: Boshir Bandar, PS: Chirin Bandar, Dist: Dinajpur.
Phone: 01714-383207",2711,21-06-12,,21-06-17,Dinajpur,Bangladesh,,
485,Bohumukhi Polly Unnayan Sangstha,"Vill: Rajarampur, PS: Phulbari, Dinajpur.
Phoen: 0174-058027",2535,01-02-10,,01-02-15,Dinajpur,Bangladesh,,
486,Bonochaya Mohila Kallayan Somity,"97/7, Boyra Cross Road No-1, Sonadanga, Khulna.
Phone: 01963-915952",0435,26-01-91,26-01-11,26-01-16,Khulna,Bangladesh,,
487,Bonoful Foundation,"Village: Sannasgasha, PO: Gowrigona, PS: Keshebpur, Dist: Jessore.",2816,17-09-13,,17-09-18,Jessore,Bangladesh,,
488,Bonolata Samaj Kalyan Sangstha,"Jibannagar, Darsana, Chuadanga",2440,26-05-09,,26-05-14,Chuadanga,Bangladesh,,
489,Borgang Foundation,"House- P-341, PanKhiyapara, Khagrachari-4400,",2371,02-07-08,,02-07-13,Khagrachari,Bangladesh,,
490,BPS (Bangladesh Patriot Society),"Baghia Bazar, Tongibari, Munshiganj.
Phone: 01712-870080
www.bpsngo.com",2463,01-07-09,01-07-14,01-07-19,Munshiganj,Bangladesh,,
491,BRAC,"BRAC Centre, 75, Mohakhali C/A, Dhaka
Phone : 9881265, Fax: 9888026
www.brac.net",0002,22-04-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
492,Brati Samaj Kallyan Sangstha,"House-06, Road-14/A, Flat-5C & 5D Sector-04, Uttara Model Town.
Dhaka
Phone: 02-8933743, Fax: 02-
8960498",1678,26-09-01,26-09-11,26-09-16,Dhaka,Bangladesh,,
493,BRAYDS,"Rani Sankail, Thakurgaon",1541,25-06-00,25-06-10,25-06-15,Thakurgaon,Bangladesh,,
494,Breaking the Silence,"10/14, Iqbal Road (3rd Floor), Mohammadpur, Dhaka-1207. Phone: 8129926 www.breakingthesilencebd.org",1642,20-05-01,20-05-16,20-05-21,Dhaka,Bangladesh,,
495,BRIC Bangladesh Resource Improvement Centre,"North Dewana, Dowlatpur, Khulna.",2021,27-03-05,,27-03-10,Khulna,Bangladesh,,
496,Bridge Education and Health Foundation (BEHF),"House-120, Block-F, Road-01, Banani, Dhaka.",2381,31-07-08,,31-07-13,Dhaka,Bangladesh,,
497,Bridge Society,"233, 5-B, Sheltech Sunflower, Club Road, Senpara Parbata, Mirpur-10, Dhaka-1216
Phone: 01552-421064, Fax: 8015343",2047,14-12-05,14-12-10,14-12-15,Dhaka,Bangladesh,,
498,BRIDGE-Bangladesh Rural Integrated Development for Grub Street Economy,"House # 146/3, Shapta Rishi, Khanjahan Ali Road, Khulna.",0745,02-09-93,02-09-98,02-09-03,Khulna,Bangladesh,,
499,Bright Bangladesh Forum,"House-23/B, Road-03, Katalgonj R/A, Panchlish, Chittagong-4203 Phone: 031-2555901",1829,07-05-03,07-05-13,07-05-18,Chittagong,Bangladesh,,
500,Bulbul Samaj Kalyan Sangstha,"Airport Road, Old Kosba, Jessore Phone: 0421-68910",0516,07-08-91,07-08-16,07-08-21,Jessore,Bangladesh,,
501,Bureau of Human Rights Bangladesh (BHRB),"78/E, Purana Paltan Lane, Dhaka. Phone : 9332744",1437,19-10-99,,19-10-04,Dhaka,Bangladesh,,
502,Calvary Apostolic Church,"PO: KUET, Daulatupr, Khulna-9203 Phone: 041-2870024",0106,03-09-81,15-05-10,15-05-15,Khulna,USA,,
503,Campaign for Sustainable Development (CSD),"Vill: Bashudeb, P.O: Ujani, P.S: Mukshedpur, Dist: Gopalgonj. Phone: 01759-776237",1294,10-09-98,10-09-13,10-09-18,Gopalganj,Bangladesh,,
504,Canadian University Service Overseas (CUSO),"House # 54, Road # 3A (New), Dhanmondi R.A., Dhaka",0015,22-04-81,,22-04-86,Dhaka,Canada,,
505,CAP Anamur,"House-70-71 (3rd Floor), Road-3, Janata Housing Society, Ring Road, Adabar, Mohammadpur, Dhaka- 1207",2307,20-02-08,20-02-13,20-02-18,Dhaka,Germany,,
506,CARE -Bangladesh,"Pragati RPR Center (8th -13th Fl.), 20-21, Kawran Bazar, Dhaka-1215. Phone: 9112315, 8114207 Fax:0114183
www.carebangladesh.org",0004,22-04-81,15-05-15,15-05-20,Dhaka,USA,,
507,CARITAS - Bangladesh,"2, Outer Circular Road, Shantibagh, Dhaka
Phone : 8315405-9, 8315641
Fax: 88314993
www.caritasbd.org",0009,22-04-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
508,Caritas Switzerland,"House-9/A (5th Floor), Road-15 (New), Dhanmondi, Dhaka.
Phone: 9114133",2848,05-02-14,,05-02-19,Dhaka,Switzerland,,
509,Catalist,"16/E(3rd floor), Indira Road, Dhaka Phone : 9119957",1690,25-10-01,,25-10-06,Dhaka,Bangladesh,,
510,"CBM Country Co-ordination Office, Bangladesh","House-12( Gr., Fl.), Road-2/A, Block- F, Banani, Dhaka.
Phone: 9887251, Fax: 9896802
www.cbm.org",2157,12-11-06,12-11-11,12-11-16,Dhaka,Bangladesh,,
511,Center for Indigenous Peoples Research & Development,"House-71, Road-07, Block-H, Banani, Dhaka.",2077,05-03-06,,05-03-11,Dhaka,Bangladesh,,
512,Center for Integrated Program and Development,"Ray Bahadur Road, Rangamati, Post Box-34, Rangamati-4500.
phone: 0351-61013",1956,09-09-04,09-09-14,09-09-19,Rangamati,Bangladesh,,
513,Center for Men and Masculinities Studies (CMMS),"519/A, Road-09, Dhanmondi, Dhaka Phone: 01718-330489",2963,09-09-15,,09-09-20,Dhaka,Bangladesh,,
514,Center for Natural Resource Studies(CNRS),"House-13, Road-17, Block-D, Banani, Dhaka-1213.
Phone : 9820127, Fax: 9820129",0841,06-07-94,06-07-14,06-07-19,Dhaka,Bangladesh,,
515,Center for Orientation and Educational (COE),"House-443/1, Christian Para, Boro Boyra, Khulna-9000
Phone: 01710-0963787",2476,25-08-09,,25-08-14,Khulna,Italy,,
516,Center for Rural Child Development (CRCD),"Akubdondi, P.O. Iqbal Park, Thana Boalkhali, Chittagong",1017,10-03-96,10-03-01,10-03-06,Chittagong,Bangladesh,,
517,Center for Rural Service (CRS),"Natun Bazar, BM College Road, Barisal-8200,
Phone: 0431-2176091",2465,05-07-09,05-07-14,05-07-19,Barisal,Bangladesh,,
518,Center for Social Development,"Vill: Dakhin Baguarchar, PO & Upazila: Romary, DistK Kurigram Phone:01714545147",3006,14-02-16,,14-02-21,Kurigram,Bangladesh,,
519,Center for the Defence of Human Rights,"House-91, Syed Nazrul Islam Sarani, North South Road (5th Floor), Dhaka 1100.
Phone: 01552-491659",2531,19-01-10,19-01-15,19-01-20,Dhaka,Bangladesh,,
520,Center for Upliftment of Rural Economy (CURE),"House-19, Road-9, Mohammadpur,Dhaka Phone : 8112776",1001,15-01-96,,15-01-01,Dhaka,Bangladesh,,
521,Centre for Advd. Res. in Natural Resources and Management (CARINAM),"House-545, Road-11, Baitul Aman Housing Society, Adabar, Shamoly, Dhaka.
Phone: 01717-318906
www.carinam.org.bd",1128,28-01-97,28-01-07,28-01-12,Dhaka,Bangladesh,,
522,Centre for Agribusiness and Community Development (ABCD),"A.H. Tower (7th Floor), Road-2, Sector-3, Uttara Model Town, Dhaka-1230
Phone: 8961876, Fax: 8962835",1351,25-02-99,25-02-14,25-02-19,Dhaka,Bangladesh,,
523,Centre for Alleviation of Rural Poverty,"397/4, New Eskaton, Dhaka Phone : 9342955",1093,29-10-96,,29-10-01,Dhaka,Bangladesh,,
524,Centre for Analysis & Choice,"House # 48, Road # 6/A, Dhanmondi R.A., Dhaka
Phone : 8115919",0704,10-05-93,,10-05-98,Dhaka,Bangladesh,,
525,Centre for Asian Theatre (CAT),"Plot-100-101, Block-D, Avenue-1, Section-2, Mirpur, Dhaka.
Phone: 9010469, Fax: 8012688
www.catbd.org",1130,01-02-97,01-02-97,01-02-02,Dhaka,Bangladesh,,
526,Centre for Coastal Environmental Conservation (CCEC),"Tagdir Mohal, House-93, Road-2, Sonadanga, Khulna-9000
Phone: 041-810982
www.ccecbd.org",1085,26-10-96,26-10-11,26-10-16,Khulna,Bangladesh,,
527,Centre for Community Development & Research,"Sharantila, PO: Rangamati, PS: Katwaly, Dist: Ragamati.
Phone: 01733-072484",2863,04-06-14,,04-06-19,Rangamati,Bangladesh,,
528,Centre for Community Development Assistance (CCDA),"Vill. Adampur, P.O. Raypur, Thana Daudkandi, Dist. Cumilla
Phone : 8711215 www.ccdabd.org",1010,11-02-96,11-02-16,11-02-21,Comilla,Bangladesh,,
529,Centre for Community Development Services,"Dattabari Sharak, PO: Upazilla & District: Sirajganj
Phone: 01712-157886",2947,30-07-15,,30-07-20,Sirajganj,Bangladesh,,
530,Centre for Development and Peace (CDP),"Mujibnagar Road, PO & UZ: Meherpur, Dist: Meherpur Phone: 0791-63667",2519,26-11-09,26-11-14,26-11-19,Meherpur,Bangladesh,,
531,Centre for Development Communication,"50, Purana Paltan Line, (3rd floor), Dhaka.
Phone : 9334556",1220,03-12-97,03-12-02,03-12-07,Dhaka,Bangladesh,,
532,Centre for Development of the Poor,"Rohima Mansion, Uttar Auchpara, Tongi, Gazipur",1518,20-04-00,,20-04-05,Gazipur,Bangladesh,,
533,Centre for Development Programme,"Vill+Post- Nalia Jamalpur, Upazilla- Baliakandi, Dist.- Rajbari.",1953,31-08-04,,31-08-09,Rajbari,Bangladesh,,
534,Centre for Development Services (CDS),"House-2/1, Road-1, Shyamoli, Dhaka 1207
Phone: 8111319, Fax: 8115512",0204,23-01-86,23-01-16,23-01-21,Dhaka,Bangladesh,,
535,Centre for Differently Abled (CDA),"House-10, Road-3, Block-F, Section- 1, Mirpur, Dhaka.
Phone : 8020533",1569,03-10-00,,03-10-05,Dhaka,Bangladesh,,
536,Centre for Disability in Development (CDD),"A-18/6, Genda, Savar, Dhaka-1340 Phone: 01713-021695",1115,31-12-96,31-12-11,31-12-16,Dhaka,Bangladesh,,
537,"Centre for Education, Creative and Performing Arts","64/C, Green Road, Dhaka-1205",1659,04-09-01,04-09-06,04-09-11,Dhaka,Bangladesh,,
538,"Centre for Health, Education, Environment Development and Democracy","11 Purana Paltan (Ibrahim Mansion) Room No.-413, Motijheel, Dhaka- 1000.
Phone: 9561857, 01819-29847701",2160,13-11-06,13-11-11,13-11-16,Dhaka,Bangladesh,,
539,"Centre for Injury Prevention and Research, Bangladesh (CIPRB)","House-B-162, Road-23, New DOHS, Mohakhali, Dhaka-1206
Phone: 8814988, Fax: 8814964
www.ciprb.org",2004,06-02-05,06-02-15,06-02-20,Dhaka,Bangladesh,,
540,Centre for Integrated Social Development (CISD),"House-19, Road-6/A, Sector-05, Uttara, Dhaka-1230
Phone: 8955595 www.cisdbd.org",1393,17-06-99,17-06-14,17-06-19,Dhaka,Bangladesh,,
541,Centre for Mass Education in Science (CMES),"House # 828, Road # 19(Old), Dhanmondi R/A, Dhaka-1209 Phone : 8111898, Fax: 8013559
www.cmesbd.org",0082,22-04-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
542,Centre for Policy Dialogue,"House-40/C, Road-11, Dhanmondi, Dhaka - 1000
Phone :91145090, Fax: 8130951
www.cpd.org.bd",0918,08-03-95,08-03-15,08-03-20,Dhaka,Bangladesh,,
543,Centre for Rehabilitation of Torture Survivors (CRTS),"8/2, Motaleb Tower (2nd Floor), 2fl- K, Paribagh, Hatirpul, Dhaka-1000 Phone: 8621138, Fax: 8122272
www.crts-bd.org",1615,25-01-01,25-01-11,25-01-16,Dhaka,Bangladesh,,
544,Centre for Rights and Development (CRD),"Vill: Palli Bidyut More, PO: Chotodap, UZ: Atwari, Panchagar.",1320,14-12-98,14-12-13,14-12-18,Dhaka,Bangladesh,,
545,Centre for Services And Information On Disability,"House-676, Road-13, Baitul Aman Housing Society, Adabor, Dhaka- 1207
Phone : 9129727, 8125669, 8143882
Fax: 8125669",1322,15-12-98,15-12-13,15-12-18,Dhaka,Bangladesh,,
546,Centre for Sustainable Development,"House-8/6 (1st Floor), Block-B, Lalmatia, Dhaka-1207
Phone: 9119126, Fax: 9130083
www.cfsd-bd.org",0473,22-05-91,24-05-11,24-05-16,Dhaka,Bangladesh,,
547,Centre for Sustainable Development and Research (CSDR),"248, Chandmari Road, Bankpara, Gopalganj Town, Dist: Gopalganj Phone: 01730-059357",2583,17-06-10,17-06-15,17-06-20,Dhaka,Bangladesh,,
548,Centre for Urban and Rural Development (CURD),"T&T Road, Barabazar, Meherpur- 7100",2140,08-10-06,,08-10-11,Meherpur,Bangladesh,,
549,Centre for Women and Children Studies (CWCS),"92, New Eskaton Road, Dhaka Phone : 9351126, Fax: 9337289",1116,02-01-97,02-01-12,02-01-17,Dhaka,Bangladesh,,
550,Centre fro Capacity Building of Voluntary Organization (CCBVO),"Mahis Bathan, Rajshai Court, Rajshahi.
Phone: 01711-274278",2760,03-01-13,,03-01-18,Rajshahi,Bangladesh,,
551,Ceshires Foundation Homes- Bangladesh,"Sonargaon Janapath, House-32, Sector-9, Uttara Model Town, Dhaka-1230
Phone: 8911276",0138,01-04-83,14-05-15,14-05-20,Dhaka,UK,,
552,Chaindha Rakkhita Shishu Sadan,"Sonaichari Marogapara, Naikhongchari, Bandarban Hill Tract District, Bandarban.
Phone: 01827-7262844",2118,06-08-06,06-08-11,06-08-16,Bandarban,Bangladesh,,
553,Chak Dhadash Daridro Bimochon Somaj Unnion Kormo Songstha,"Vill: Chak Dhadash, P.O. Baneswar, Upazila: Putia, Dist.: Rajshahi.",2467,09-07-09,,09-07-14,Rajshahi,Bangladesh,,
554,Chakrabak Samaj Kalyan Sangsad,"Vill. Bhadarty, Thana Kaliganj, Gazipur",0611,23-03-92,,23-03-97,Gazipur,Bangladesh,,
555,Chal Chal Foundation,"147, DOHS. Lane-4, Eastern Road, Dhaka",1054,01-08-96,,01-08-01,Dhaka,USA,,
556,Chalantika Jubo Society,"Chowdhury Villa, House-01, Road- 06, Sonadanga R/A, Khulna Phone: 041-731976
www.chalantika.org",2500,22-10-09,22-10-14,22-10-19,Khulna,Bangladesh,,
557,Chalktilok Bahumukhi Samabay Samity,"153, Chawyef Khan Road, West Subidbazar, Sylhet-3100.
Phone : 74695",0706,12-05-93,,12-05-98,Sylhet,Bangladesh,,
558,Chalna Bandor Mahila Samity,"Port Residential Area, Mongla, Bagerhat
Phone: 01711-108895",0678,24-01-93,24-01-13,24-01-18,Bagerhat,Bangladesh,,
559,Chalo Kaj Kori,"Kha-52/3, Khilkhet Namapara, Badda, Dhaka.",1767,30-11-02,,30-11-07,Dhaka,Bangladesh,,
560,Chandpur Atma Nibedita Mohila Songstha,"Nilufar Bhaban, Comilla Road, Chandpur
Phone : 63324",0738,02-09-93,,02-09-98,Chandpur,Bangladesh,,
561,Chandpur Socio-Economic Development Organization (CSEDO),"Fateha Monjil, Wireless Bazar, Bishaw Road, Chandpur.",2438,18-05-09,,18-05-14,Chandpur,Bangladesh,,
562,Chandradip Development Society,"Chandradip Munir bug, Najir Mahalla, Barishal-8200.
Phone:0431-63375",1911,24-02-04,24-02-14,24-02-19,Barisal,Bangladesh,,
563,Change,"House # 35A, Road # 15(New) 27 (Old), Dhanmondi R/A, Dhaka",0976,14-10-95,,14-10-00,Dhaka,Bangladesh,,
564,Change and Development (CAD),"25 Kabi Golam Mostafa Road (G. Floor), Arafpur, Jhenidaha-7300 Phone: 01763-147147",2252,17-07-07,17-07-12,17-07-17,Jhenaidah,Bangladesh,,
565,Changemaker: Society for Social and Economic Development,"House-08, Road-13 (New), Suit-F-3, Dhanmondi, Dhaka-1209.",2167,27-11-06,,27-11-11,Dhaka,Bangladesh,,
566,Char Fashion Orphanage,"Char Fashion Pourashava, PS- Char Fashion, Dist: Bhola.",2670,30-01-12,,30-01-17,Bhola,Bangladesh,,
567,Charity Foundation (CF),"House-71, Road-07, Block-H, Banani, Dhaka-1213
Phone: 01763-731763, Fax: 8153966",2008,13-02-05,13-02-11,13-02-16,Dhaka,Bangladesh,,
568,Char-O-Janata Unnayan Sangshta (CJUS),"Char Sajai, Kodalkadi, Rajibpur, Kurigram
Phone: 01785-42172",2401,13-01-09,13-01-14,13-01-19,Kurigram,Bangladesh,,
569,Chayakunja Development Society,"317, Solaiman Nagar, Sher-E-Bangla Road, Khulna",2572,16-05-10,16-05-15,16-05-20,Khulna,Bangladesh,,
